account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_minutes,total_calls,total_charges
128,408,no,no,0,158,75,27,264,91,22,270,77,12,7,7,2,1,False,699,250,63
104,415,no,no,0,182,113,31,239,85,20,229,104,10,5,4,1,2,False,655,306,62
103,415,no,no,0,198,112,33,42,90,3,179,124,8,12,5,3,0,False,431,331,47
124,415,no,no,0,178,72,30,233,134,19,179,91,8,12,2,3,0,False,602,299,60
87,510,no,no,0,110,91,18,158,115,13,207,131,9,6,5,1,1,False,481,342,41
109,415,no,yes,27,166,85,28,221,92,18,197,97,8,12,4,3,1,True,596,278,57
167,415,yes,no,0,244,91,41,60,105,5,176,110,7,10,3,2,2,False,490,309,55
97,510,no,no,0,120,96,20,169,101,14,194,63,8,11,3,3,4,True,494,263,45
106,415,no,no,0,165,118,28,210,101,17,187,93,8,8,3,2,2,False,570,315,55
125,415,no,no,0,126,113,21,155,131,13,206,112,9,14,7,3,2,False,501,363,46
108,408,no,yes,35,215,106,36,200,107,17,195,107,8,15,7,4,0,False,625,327,65
125,415,no,no,0,140,132,23,209,126,17,264,77,11,8,2,2,1,False,621,337,53
89,415,no,yes,32,209,113,35,249,104,21,224,92,10,8,7,2,1,False,690,316,68
72,510,yes,yes,29,139,114,23,138,91,11,221,88,9,5,6,1,0,False,503,299,44
23,510,no,no,0,321,107,54,251,115,21,141,158,6,11,3,3,2,True,724,383,84
149,510,no,no,0,166,61,28,218,107,18,208,131,9,8,6,2,7,False,600,305,57
73,415,no,no,0,214,90,36,196,78,16,157,112,7,5,8,1,0,False,572,288,60
61,415,no,no,0,260,123,44,210,127,17,234,70,10,9,3,2,1,True,713,323,73
161,415,no,no,0,191,113,32,70,87,6,204,107,9,13,4,3,4,True,478,311,50
73,408,no,no,0,213,95,36,188,104,16,136,89,6,13,3,3,0,False,550,291,61
118,415,no,yes,24,118,83,20,109,72,9,245,73,11,16,2,4,1,False,488,230,44
23,408,no,no,0,190,89,32,166,108,14,219,73,9,15,4,4,6,False,590,274,59
127,415,no,yes,25,82,95,13,163,109,13,264,104,11,5,6,1,0,False,514,314,38
42,415,no,yes,32,163,80,27,177,123,15,190,106,8,8,5,2,0,False,538,314,52
118,415,no,no,0,267,145,45,316,121,26,208,91,9,14,11,3,5,True,805,368,83
45,510,no,no,0,159,91,27,120,86,10,163,93,7,10,3,2,2,False,452,273,46
50,408,no,yes,24,214,129,36,289,55,24,312,130,14,10,4,2,1,False,825,318,76
179,510,no,no,0,287,123,48,288,114,24,266,112,11,10,4,2,0,True,851,353,85
152,408,no,no,0,101,122,17,141,87,12,198,124,8,7,3,2,2,False,447,336,39
105,415,no,no,0,102,74,17,281,125,23,228,113,10,13,5,3,2,False,624,317,53
72,415,no,no,0,109,97,18,115,96,9,295,84,13,8,6,2,0,False,527,283,42
52,408,no,no,0,215,67,36,217,108,18,342,130,15,5,2,1,1,False,779,307,70
125,415,no,no,0,203,110,34,128,97,10,190,113,8,11,4,2,1,False,532,324,54
143,510,no,no,0,110,113,18,169,59,14,166,94,7,9,2,2,1,False,454,268,41
65,415,no,no,0,111,51,18,219,84,18,202,89,9,4,14,1,1,False,536,238,46
80,415,no,no,0,239,121,40,142,51,12,364,106,16,9,5,2,1,False,754,283,70
1,415,no,no,0,144,107,24,112,66,9,218,79,9,13,3,3,1,False,487,255,45
60,408,no,no,0,135,134,23,205,85,17,204,103,9,7,4,2,1,False,551,326,51
43,415,no,no,0,84,134,14,80,103,6,196,79,8,10,2,2,1,False,370,318,30
143,415,no,no,0,209,127,35,106,80,9,179,90,8,14,6,3,0,False,508,303,55
81,415,no,yes,24,130,117,22,196,61,16,139,123,6,11,5,3,0,False,476,306,47
205,510,no,yes,24,175,139,29,155,98,13,180,64,8,7,5,2,2,False,517,306,52
24,415,no,no,0,241,104,41,145,112,12,214,105,9,6,5,1,1,False,606,326,63
74,415,no,no,0,136,106,23,228,105,19,265,114,11,9,4,2,0,False,638,329,55
77,510,no,no,0,67,68,11,195,86,16,236,137,10,12,2,3,1,False,510,293,40
74,415,no,no,0,200,87,34,309,105,26,152,118,6,10,2,2,1,False,671,312,68
74,510,yes,no,0,125,103,21,207,96,17,207,143,9,14,4,3,1,True,553,346,50
200,408,no,no,0,128,87,21,133,105,11,177,123,7,11,2,3,1,False,449,317,42
86,408,no,no,0,226,88,38,223,107,18,255,92,11,13,3,3,4,False,717,290,70
91,510,no,yes,37,162,107,27,233,115,19,277,94,12,9,4,2,0,False,681,320,60
76,415,no,no,0,224,121,38,147,97,12,183,74,8,6,2,1,2,False,560,294,59
130,415,no,no,0,120,127,20,189,52,16,270,107,12,14,2,3,1,False,593,288,51
56,408,no,no,0,91,90,15,179,115,15,300,89,13,11,8,3,2,False,581,302,46
117,415,no,no,0,168,137,28,241,107,20,204,106,9,15,4,4,0,False,628,354,61
63,510,no,no,0,153,81,26,287,115,24,230,85,10,6,5,1,2,False,676,286,61
126,415,no,no,0,226,88,38,140,114,11,208,110,9,6,2,1,0,False,580,314,59
132,510,no,no,0,191,107,32,206,127,17,272,88,12,12,2,3,1,False,681,324,64
81,415,no,yes,28,167,147,28,190,105,16,193,103,8,9,6,2,4,True,559,361,54
122,415,no,no,0,180,88,30,145,77,12,233,120,10,11,6,3,2,False,569,291,55
46,408,no,no,0,257,67,43,261,91,22,204,107,9,13,5,3,2,True,735,270,77
150,415,no,yes,28,174,75,29,169,80,14,201,130,9,11,4,2,1,False,555,289,54
99,408,no,no,0,159,83,27,155,121,13,255,114,11,8,3,2,1,False,577,321,53
87,408,no,no,0,237,124,40,222,87,18,173,81,7,11,3,2,1,False,643,295,67
108,415,no,no,0,103,129,17,242,103,20,170,89,7,7,3,2,1,False,522,324,46
101,415,no,no,0,153,89,26,234,89,19,196,77,8,11,2,3,4,False,594,257,56
53,415,no,no,0,205,86,34,160,95,13,149,142,6,10,2,2,3,False,524,325,55
132,415,no,yes,39,175,93,29,187,94,15,225,118,10,8,3,2,2,False,595,308,56
158,510,no,no,0,155,123,26,224,112,19,221,116,9,8,8,2,2,False,608,359,56
114,415,no,yes,34,154,109,26,221,142,18,208,103,9,10,5,2,0,False,593,359,55
77,415,no,yes,23,209,73,35,183,63,15,205,111,9,7,3,1,2,False,604,250,60
144,415,yes,no,0,150,69,25,285,73,24,190,121,8,9,15,2,0,False,634,278,59
91,510,no,yes,23,232,97,39,186,88,15,190,128,8,12,3,3,3,False,620,316,65
58,408,no,no,0,165,100,28,115,87,9,193,118,8,12,5,3,2,False,485,310,48
5,415,no,no,0,199,106,33,187,12,15,214,85,9,13,3,3,3,False,613,206,60
97,408,no,no,0,217,81,36,320,51,27,150,110,6,4,3,1,0,False,691,245,70
107,415,no,no,0,212,95,36,150,88,12,219,111,9,7,2,2,3,False,588,296,59
142,415,no,yes,30,154,75,26,165,97,14,270,83,12,10,5,2,1,False,599,260,54
9,408,no,yes,31,193,130,32,202,98,17,191,102,8,13,2,3,1,False,599,332,60
73,415,no,no,0,175,130,29,248,105,21,122,85,5,12,4,3,0,False,557,324,58
48,510,no,yes,22,152,63,25,258,131,22,263,109,11,15,5,4,2,True,688,308,62
43,408,no,no,0,230,147,39,186,121,15,128,100,5,9,3,2,0,False,553,371,61
122,408,no,yes,33,174,103,29,248,105,21,164,116,7,13,3,3,1,True,599,327,60
93,415,no,no,0,190,68,32,262,64,22,130,92,5,8,4,2,0,False,590,228,61
85,415,no,no,0,176,122,29,224,123,19,219,50,9,11,1,3,1,False,630,296,60
59,415,no,no,0,160,95,27,251,65,21,273,97,12,5,5,1,3,False,689,262,61
87,415,no,no,0,228,90,38,163,99,13,154,90,6,11,3,3,1,False,556,282,60
137,408,no,no,0,144,90,24,181,100,15,128,93,5,12,2,3,0,False,465,285,47
21,510,no,yes,31,135,90,23,271,84,23,179,89,8,9,7,2,6,False,594,270,56
129,510,no,no,0,334,118,56,192,104,16,191,83,8,10,6,2,0,True,727,311,82
104,415,no,no,0,130,77,22,131,117,11,264,63,11,13,6,3,0,False,538,263,47
93,408,no,yes,21,134,105,22,162,128,13,186,90,8,11,2,3,4,True,493,325,46
63,415,no,no,0,278,102,47,266,114,22,224,118,10,13,4,3,4,True,781,338,82
161,415,no,no,0,105,70,17,214,122,18,223,126,10,7,5,2,0,False,549,323,47
50,510,no,no,0,188,94,32,203,104,17,151,124,6,11,8,3,3,False,553,330,58
103,408,no,yes,24,111,85,19,239,102,20,268,81,12,6,4,1,1,False,624,272,52
84,415,no,yes,33,159,106,27,149,101,12,213,108,9,13,18,3,1,False,534,333,51
92,510,no,no,0,212,105,36,224,118,19,221,105,9,9,4,2,1,False,666,332,66
77,415,no,no,0,142,112,24,306,111,26,196,82,8,9,1,2,1,False,653,306,60
64,415,yes,no,0,346,55,58,249,79,21,275,102,12,13,9,3,1,True,883,245,94
159,415,no,yes,15,113,102,19,145,146,12,195,137,8,11,9,3,1,False,464,394,42
110,415,yes,yes,27,267,103,45,263,74,22,178,106,8,8,2,2,1,True,716,285,77
138,510,no,no,0,171,117,29,115,128,9,224,115,10,17,4,4,3,False,527,364,52
178,408,no,no,0,275,150,46,187,62,15,147,126,6,13,3,3,1,False,622,341,70
38,415,no,yes,31,197,118,33,249,70,21,298,104,13,3,2,1,0,False,747,294,68
50,415,no,yes,35,192,97,32,135,101,11,216,101,9,7,2,2,2,False,550,301,54
45,510,no,yes,26,91,104,15,150,119,12,63,103,2,7,5,2,1,False,311,331,31
70,510,no,no,0,126,99,21,141,106,12,255,96,11,9,2,2,0,False,531,303,46
147,510,no,yes,33,251,107,42,234,110,19,213,87,9,10,6,2,3,False,708,310,72
94,510,no,no,0,190,108,32,152,95,12,144,97,6,7,5,2,1,False,493,305,52
179,510,no,no,0,116,101,19,201,99,17,181,103,8,11,5,3,0,False,509,308,47
116,415,no,no,0,217,91,36,216,95,18,148,76,6,11,3,3,2,False,592,265,63
59,510,no,no,0,179,80,30,232,99,19,175,105,7,14,3,3,0,False,600,287,59
165,415,no,no,0,207,109,35,164,94,14,54,91,2,7,3,2,0,False,432,297,53
133,408,no,no,0,277,138,47,228,117,19,117,103,5,12,4,3,2,True,634,362,74
140,415,no,no,0,125,84,21,167,121,14,260,94,11,8,4,2,1,False,560,303,48
93,408,no,yes,32,138,91,23,167,72,14,238,115,10,6,3,1,2,False,549,281,48
52,510,no,yes,38,169,88,28,225,97,19,172,86,7,8,3,2,0,False,574,274,56
64,415,no,yes,27,201,101,34,143,89,12,150,127,6,12,3,3,1,False,506,320,55
12,510,yes,no,0,216,117,36,116,126,9,220,110,9,9,4,2,2,False,561,357,56
48,415,no,no,0,190,92,32,317,85,26,133,113,6,8,4,2,2,False,648,294,66
181,408,no,no,0,143,91,24,195,58,16,223,95,10,6,7,1,1,False,567,251,51
168,415,no,yes,42,97,57,16,203,98,17,173,124,7,11,2,3,2,False,484,281,43
155,415,no,no,0,181,111,30,167,92,14,168,122,7,11,3,3,3,False,527,328,54
105,510,no,no,0,246,83,41,256,101,21,169,151,7,3,4,1,0,False,674,339,70
11,415,no,no,0,143,130,24,289,50,24,194,100,8,9,6,2,2,False,635,286,58
182,415,no,no,0,104,111,17,198,120,16,258,91,11,8,5,2,2,False,568,327,46
104,415,no,no,0,156,93,26,193,54,16,222,94,10,13,5,3,1,False,584,246,55
102,415,no,no,0,114,125,19,81,126,6,304,101,13,12,4,3,0,False,511,356,41
122,415,no,no,0,232,96,39,205,120,17,213,91,9,11,2,3,0,False,661,309,68
41,415,no,no,0,143,117,24,152,108,12,194,110,8,8,3,2,1,False,497,338,46
132,415,no,no,0,176,132,30,244,80,20,176,120,7,9,4,2,2,False,605,336,59
76,415,no,no,0,263,148,44,230,69,19,170,101,7,11,5,3,1,True,674,323,73
13,415,no,no,0,146,74,24,148,92,12,216,96,9,11,3,3,1,False,521,265,48
115,415,no,yes,33,145,72,24,194,157,16,242,138,10,14,3,3,2,False,595,370,53
67,408,no,no,0,167,91,28,167,69,14,110,71,4,8,12,2,1,False,452,243,48
154,510,no,no,0,166,99,28,154,97,13,189,89,8,7,5,1,0,False,516,290,50
100,510,no,no,0,142,87,24,195,88,16,122,117,5,7,8,2,2,False,466,300,47
146,510,yes,no,0,133,65,22,262,93,22,214,128,9,11,3,3,1,False,620,289,56
148,415,no,yes,11,252,129,42,284,88,24,262,99,11,12,1,3,1,False,810,317,80
67,415,no,yes,28,95,94,16,291,73,24,159,114,7,10,2,2,2,False,555,283,49
161,510,yes,no,0,194,106,33,249,105,21,254,129,11,12,1,3,1,True,709,341,68
70,415,no,no,0,222,114,37,215,113,18,223,122,10,0,0,0,1,False,660,349,65
116,510,no,no,0,201,82,34,231,95,19,226,130,10,16,5,4,0,False,674,312,67
99,415,no,yes,42,216,125,36,232,104,19,215,100,9,9,4,2,2,True,672,333,66
87,415,no,no,0,146,108,24,171,102,14,167,66,7,5,9,1,1,False,489,285,46
87,510,no,no,0,234,85,39,140,91,11,204,93,9,9,5,2,1,False,587,274,61
70,408,no,no,0,198,111,33,213,115,18,171,105,7,10,6,2,2,False,592,337,60
131,408,no,no,0,94,80,16,215,101,18,179,108,8,13,9,3,2,False,501,298,45
119,510,no,no,0,190,74,32,215,113,18,161,111,7,10,1,2,2,False,576,299,59
119,408,no,yes,32,142,77,24,208,126,17,171,102,7,12,2,3,3,False,533,307,51
87,510,yes,no,0,134,80,22,165,71,14,173,102,7,10,5,2,0,False,482,258,45
112,415,no,no,0,111,92,19,114,143,9,146,79,6,14,3,3,5,True,385,317,37
75,415,no,no,0,122,89,20,211,104,17,261,91,11,10,2,2,2,False,604,286,50
150,510,no,no,0,189,77,32,220,105,18,238,117,10,9,5,2,4,False,656,304,62
161,510,no,yes,38,240,112,40,201,102,17,206,112,9,16,6,4,0,False,663,332,70
91,510,yes,yes,24,93,112,15,183,128,15,240,133,10,9,3,2,0,False,525,376,42
124,415,no,no,0,158,104,26,211,77,17,179,104,8,10,8,2,3,False,558,293,53
94,510,yes,no,0,243,109,41,147,88,12,94,99,4,7,4,1,4,False,491,300,58
217,408,no,no,0,176,115,29,158,128,13,306,107,13,9,3,2,4,False,649,353,57
158,510,no,no,0,220,129,37,242,108,20,233,75,10,6,5,1,0,False,701,317,68
102,415,no,no,0,144,87,24,266,128,22,217,59,9,7,7,1,0,False,634,281,56
85,510,no,no,0,212,107,36,228,103,19,163,116,7,7,3,2,0,False,610,329,64
79,510,no,no,0,147,72,24,165,102,14,243,107,10,8,9,2,1,False,563,290,50
139,510,no,yes,25,96,112,16,178,70,15,182,84,8,12,10,3,2,False,468,276,42
103,415,no,no,0,263,118,44,179,69,15,214,112,9,10,2,2,0,False,666,301,70
98,415,yes,no,0,12,67,2,256,90,21,169,88,7,7,9,2,1,False,444,254,32
78,408,no,no,0,162,116,27,192,86,16,240,100,10,10,3,2,2,False,604,305,55
50,408,no,no,0,183,107,31,58,118,4,202,99,9,8,3,2,1,False,451,327,46
161,415,no,no,0,178,109,30,146,86,12,137,78,6,8,2,2,1,False,469,275,50
67,408,no,no,0,201,101,34,97,122,8,202,119,9,7,3,1,0,False,507,345,52
86,415,no,yes,38,123,158,20,133,119,11,138,103,6,13,4,3,1,False,407,384,40
92,510,no,no,0,208,125,35,198,76,16,76,97,3,8,6,2,0,False,490,304,56
174,415,no,no,0,239,72,40,188,124,16,105,116,4,8,3,2,1,False,540,315,62
124,510,no,no,0,193,97,32,89,99,7,172,104,7,15,3,4,1,False,469,303,50
132,415,no,yes,31,174,101,29,245,105,20,172,76,7,10,9,2,1,False,601,291,58
190,415,no,yes,26,116,71,19,145,88,12,175,103,7,9,3,2,1,False,445,265,40
101,510,no,no,0,93,127,15,150,104,12,241,116,10,10,2,2,1,False,494,349,39
185,415,yes,yes,30,154,114,26,118,106,10,258,105,11,12,3,3,2,False,542,328,50
68,415,no,yes,29,239,82,40,203,105,17,167,70,7,9,6,2,0,False,618,263,66
117,510,no,yes,25,216,140,36,224,69,19,267,112,12,11,4,3,0,False,718,325,70
118,408,no,no,0,187,97,31,177,89,15,233,97,10,12,6,3,1,False,609,289,59
124,415,no,no,0,167,119,28,233,143,19,109,115,4,10,5,2,0,False,519,382,53
22,510,no,no,0,160,108,27,218,88,18,192,115,8,12,4,3,1,False,582,315,56
75,415,no,no,0,143,92,24,209,142,17,173,96,7,11,9,3,1,False,536,339,51
134,408,no,no,0,205,122,34,240,155,20,179,107,8,5,9,1,1,False,629,393,63
164,408,no,yes,25,219,88,37,151,99,12,50,60,2,14,6,3,1,False,434,253,54
44,510,no,no,0,143,77,24,169,114,14,215,77,9,7,4,2,1,False,534,272,49
177,415,no,no,0,232,106,39,175,97,14,212,77,9,12,7,3,2,False,631,287,65
110,408,no,no,0,162,81,27,247,89,21,155,99,7,8,8,2,0,False,572,277,57
53,415,no,yes,27,25,119,4,206,96,17,228,64,10,6,7,1,1,False,465,286,32
108,415,no,no,0,154,123,26,112,86,9,246,75,11,15,4,4,4,True,527,288,50
80,408,no,no,0,322,113,54,222,95,18,162,123,7,6,8,1,0,True,712,339,80
158,408,no,no,0,209,112,35,221,82,18,210,93,9,8,3,2,1,False,648,290,64
114,415,no,no,0,191,88,32,175,78,14,220,118,9,0,0,0,0,False,586,284,55
64,408,no,yes,19,291,150,49,226,123,19,219,67,9,7,2,2,1,False,743,342,79
88,415,no,no,0,215,115,36,216,85,18,171,65,7,11,1,3,3,False,613,266,64
82,510,yes,no,0,208,101,35,213,87,18,175,86,7,12,6,3,3,False,608,280,63
111,415,no,no,0,255,97,43,204,129,17,171,84,7,12,5,3,3,False,642,315,70
60,408,no,no,0,252,97,42,221,121,18,109,100,4,12,4,3,2,False,594,322,67
113,408,no,no,0,132,72,22,247,107,21,246,123,11,6,6,1,3,False,631,308,55
109,408,no,no,0,217,115,36,207,142,17,268,106,12,8,4,2,1,False,700,367,67
105,510,no,yes,42,101,79,17,223,97,18,241,77,10,12,2,3,0,False,577,255,48
85,510,no,no,0,211,100,35,184,88,15,164,131,7,13,4,3,2,False,572,323,60
131,510,no,no,0,153,86,26,198,81,16,164,83,7,10,3,2,0,False,525,253,51
59,510,no,no,0,166,95,28,239,87,20,123,108,5,10,3,2,2,False,538,293,55
148,408,no,no,0,185,87,31,170,96,14,165,104,7,9,13,2,1,False,529,300,54
210,408,no,no,0,104,121,17,149,71,12,255,67,11,6,8,1,2,False,514,267,41
115,415,no,no,0,245,105,41,159,109,13,229,74,10,7,8,1,0,False,640,296,65
106,510,no,no,0,274,120,46,198,82,16,160,62,7,6,3,1,1,False,638,267,70
93,415,no,no,0,98,78,16,249,129,21,248,114,11,14,4,3,1,False,609,325,51
57,415,no,yes,29,279,121,47,223,109,18,251,94,11,13,2,3,1,False,766,326,79
98,510,no,no,0,187,127,31,195,88,16,181,129,8,5,4,1,1,False,568,348,56
157,415,no,no,0,276,95,46,165,119,14,151,79,6,2,4,0,3,False,594,297,66
116,415,no,yes,35,200,104,34,272,89,23,214,100,9,8,4,2,1,False,694,297,68
30,510,no,no,0,162,96,27,244,122,20,180,89,8,9,4,2,2,False,595,311,57
111,510,no,no,0,176,128,30,102,56,8,213,84,9,10,2,2,4,True,501,270,49
52,415,no,no,0,165,78,28,205,89,17,213,124,9,12,6,3,0,False,595,297,57
72,415,no,no,0,217,93,37,189,113,16,182,91,8,10,5,2,4,False,598,302,63
135,510,no,yes,28,201,100,34,246,117,20,154,131,6,12,4,3,2,True,613,352,63
86,510,no,no,0,190,115,32,179,130,15,258,89,11,10,5,2,3,False,637,339,60
98,415,no,yes,29,179,97,30,189,89,16,164,76,7,12,7,3,3,False,544,269,56
151,510,no,no,0,235,104,40,80,91,6,212,116,9,5,2,1,3,False,532,313,56
118,415,no,no,0,140,112,23,187,60,15,207,155,9,7,1,2,0,False,541,328,49
117,415,no,no,0,144,115,24,258,66,22,253,113,11,7,9,2,2,False,662,303,59
55,510,no,no,0,189,100,32,118,99,10,248,87,11,17,6,4,0,False,572,292,57
82,408,no,no,0,101,93,17,155,104,13,304,93,13,13,2,3,0,False,573,292,46
152,415,no,no,0,206,98,35,292,82,24,43,121,1,10,4,2,1,False,551,305,62
108,408,no,yes,15,165,85,28,267,93,22,250,114,11,10,4,2,1,False,692,296,63
98,408,no,no,0,165,129,28,202,113,17,172,94,7,12,7,3,1,True,551,343,55
130,415,no,no,0,155,95,26,256,97,21,262,103,11,11,3,3,3,False,684,298,61
136,408,yes,no,0,199,122,33,214,114,18,150,105,6,11,7,3,1,False,574,348,60
47,415,no,no,0,155,116,26,188,85,16,247,73,11,12,4,3,3,False,602,278,56
189,415,no,no,0,208,106,35,236,123,20,179,120,8,11,5,3,3,False,634,354,66
107,415,no,no,0,157,79,26,162,124,13,150,138,6,12,6,3,1,False,481,347,48
91,415,no,no,0,154,165,26,168,121,14,239,81,10,11,4,3,5,True,572,371,53
159,415,no,no,0,189,105,32,246,147,20,242,106,10,10,5,2,1,True,687,363,64
11,408,no,yes,24,131,98,22,230,111,19,283,87,12,10,3,2,2,False,654,299,55
167,415,no,no,0,166,85,28,243,135,20,229,95,10,9,5,2,1,False,647,320,60
111,408,no,no,0,142,75,24,122,106,10,229,94,10,12,9,3,2,False,505,284,47
99,408,no,yes,19,87,103,14,223,86,18,182,112,8,7,4,1,2,False,499,305,41
159,415,no,yes,19,184,78,31,194,71,16,225,101,10,16,3,4,0,False,619,253,61
114,415,yes,yes,31,174,104,29,224,92,19,116,91,5,12,10,3,2,False,526,297,56
71,415,no,no,0,103,103,17,138,79,11,164,98,7,9,2,2,2,False,414,282,37
122,415,no,no,0,35,62,5,180,89,15,251,58,11,12,2,3,1,False,478,211,34
100,408,no,yes,25,246,94,41,141,112,12,189,109,8,13,5,3,1,False,589,320,64
83,415,no,yes,37,78,109,13,210,101,17,179,102,8,11,4,3,1,False,478,316,41
64,408,no,no,0,148,73,25,164,101,14,216,125,9,12,2,3,5,True,540,301,51
105,408,no,no,0,206,84,35,256,138,21,117,91,5,9,3,2,1,False,588,316,63
144,415,no,yes,33,251,87,42,197,118,16,209,97,9,12,3,3,2,False,669,305,70
106,415,yes,yes,26,270,111,45,215,90,18,254,133,11,14,7,3,1,True,753,341,77
19,510,no,yes,34,156,97,26,224,97,19,260,135,11,11,1,3,1,False,651,330,59
46,408,no,no,0,139,81,23,223,113,19,173,77,7,13,6,3,1,False,548,277,52
127,510,no,no,0,220,108,37,188,124,16,172,113,7,11,3,3,2,False,591,348,63
9,415,no,yes,39,214,108,36,169,115,14,189,117,8,10,3,2,1,False,582,343,60
157,415,no,no,0,196,74,33,213,96,18,196,81,8,7,6,2,1,False,612,257,61
105,415,no,no,0,106,71,18,240,83,20,147,114,6,5,4,1,6,True,498,272,45
105,415,no,yes,29,179,113,30,275,100,23,246,105,11,10,5,2,0,False,710,323,66
155,408,no,no,0,216,30,36,144,125,12,135,106,6,10,1,2,2,False,505,262,56
31,415,no,no,0,177,129,30,152,105,12,162,92,7,5,2,1,0,False,496,328,50
161,415,no,no,0,151,117,25,219,87,18,224,68,10,4,5,1,1,False,598,277,54
95,408,no,yes,32,262,123,44,165,82,14,194,57,8,10,5,2,0,False,631,267,68
122,415,no,no,0,173,110,29,91,84,7,211,103,9,9,7,2,3,False,484,304,47
37,415,yes,no,0,106,76,18,147,89,12,235,113,10,9,8,2,2,False,497,286,42
132,415,no,no,0,193,106,32,128,94,10,162,119,7,11,4,3,5,True,494,323,52
119,408,no,yes,24,217,94,36,138,52,11,139,85,6,11,4,3,0,False,505,235,56
16,408,no,no,0,209,89,35,172,85,14,94,102,4,8,4,2,1,False,483,280,55
99,408,no,no,0,95,105,16,207,101,17,136,117,6,5,5,1,1,False,443,328,40
76,408,no,yes,26,214,110,36,205,87,17,134,140,6,8,2,2,1,False,561,339,61
167,415,no,no,0,131,120,22,211,96,17,168,97,7,11,4,3,4,True,521,317,49
129,415,no,no,0,168,117,28,217,129,18,81,100,3,11,7,3,1,False,477,353,52
116,408,no,no,0,146,123,24,176,113,15,212,102,9,7,5,2,1,False,541,343,50
60,415,yes,no,0,183,110,31,206,93,17,203,119,9,11,6,3,1,False,603,328,60
128,415,no,no,0,103,122,17,245,123,20,161,95,7,6,7,1,0,False,515,347,45
47,408,no,yes,28,112,70,19,154,106,13,166,105,7,10,2,2,0,False,442,283,41
40,510,yes,no,0,170,55,29,179,108,15,281,89,12,8,9,2,3,False,638,261,58
173,510,no,no,0,172,78,29,142,91,12,102,63,4,10,2,2,0,False,426,234,47
157,510,no,yes,30,194,107,33,243,108,20,322,114,14,7,5,1,1,False,766,334,68
66,408,no,yes,32,187,117,31,129,90,11,132,113,5,12,3,3,2,False,460,323,50
50,415,yes,yes,26,307,94,52,289,78,24,174,109,7,8,3,2,0,False,778,284,85
72,415,no,no,0,118,106,20,167,136,14,214,106,9,12,3,3,3,False,511,351,46
130,510,no,no,0,154,95,26,205,106,17,233,75,10,12,1,3,1,False,604,277,56
143,408,no,no,0,155,101,26,213,89,18,237,61,10,7,11,2,1,False,612,262,56
89,510,yes,no,0,125,108,21,213,90,18,181,108,8,5,5,1,1,False,524,311,48
108,415,no,no,0,199,104,33,224,92,19,140,57,6,15,2,4,0,False,578,255,62
32,408,no,no,0,157,88,26,180,132,15,132,102,5,12,3,3,1,False,481,325,49
166,415,no,no,0,203,81,34,167,110,14,132,124,5,9,5,2,2,False,511,320,55
109,408,no,no,0,222,113,37,218,122,18,266,88,11,10,5,2,1,False,716,328,68
72,408,no,yes,39,92,98,15,271,115,23,167,83,7,5,7,1,1,False,535,303,46
134,415,no,yes,32,216,78,36,102,111,8,174,83,7,8,2,2,0,False,500,274,53
13,415,no,no,0,193,89,32,194,90,16,186,104,8,9,2,2,4,False,582,285,58
90,415,no,no,0,113,108,19,189,63,16,271,124,12,14,4,3,3,False,587,299,50
111,415,no,yes,36,166,54,28,238,109,20,108,92,4,11,2,3,3,False,523,257,55
101,408,no,yes,23,262,101,44,157,80,13,129,100,5,7,14,1,1,False,555,295,63
72,415,no,no,0,207,92,35,195,110,16,184,124,8,13,4,3,0,False,599,330,62
67,510,no,yes,35,245,89,41,148,102,12,274,136,12,7,6,2,1,False,674,333,67
172,408,no,no,0,287,108,48,178,125,15,153,98,6,14,2,3,3,True,632,333,72
154,510,no,yes,32,192,82,32,165,134,14,205,74,9,9,1,2,2,False,571,291,57
69,510,no,no,0,194,122,33,242,81,20,215,80,9,9,3,2,2,False,660,286,64
123,415,no,no,0,211,92,35,217,102,18,214,104,9,9,7,2,3,False,651,305,64
130,415,no,yes,12,141,92,24,228,102,19,195,101,8,8,5,2,0,False,572,300,53
142,415,no,yes,26,220,94,37,239,126,20,254,109,11,5,9,1,2,False,718,338,69
29,415,no,no,0,157,122,26,145,75,12,281,92,12,9,2,2,1,False,592,291,52
87,408,no,yes,28,143,106,24,223,147,19,175,69,7,11,5,3,0,False,552,327,53
149,415,no,no,0,156,56,26,56,116,4,163,104,7,8,8,2,0,False,383,284,39
146,408,yes,no,0,160,63,27,208,112,17,177,98,7,9,3,2,2,False,554,276,53
88,415,yes,no,0,235,98,39,251,79,21,285,76,12,7,2,1,4,True,778,255,73
119,415,yes,yes,15,160,95,27,209,110,17,82,107,3,8,5,2,5,True,459,317,49
48,510,no,no,0,188,63,32,165,89,14,205,71,9,13,2,3,1,False,571,225,58
135,415,no,no,0,194,97,33,235,118,20,174,126,7,11,3,2,1,False,614,344,62
100,510,no,no,0,247,117,42,130,95,11,134,125,6,6,2,1,1,False,517,339,60
98,415,no,no,0,221,80,37,213,104,18,291,89,13,11,3,3,4,False,736,276,71
75,510,no,yes,26,118,86,20,213,118,18,132,99,5,13,3,3,2,False,476,306,46
